ID,問題文,選択肢1,選択肢2,選択肢3,選択肢4,選択肢5,正解番号,解説
38,文字列を強調するために、文字列の線を太く表示する機能の名称は何か？,右寄せ,センタリング,斜体,囲み線,太字,5,文字を太くして視覚的に目立たせる機能を太字といいます。
39,文字列の見た目を良くするために、影付きや中抜きの文字にする機能の名称は何か？,文字飾り,網掛け,下線,均等割付,ルビ,1,影や中抜き、反射などの効果を加える機能を文字飾りと呼びます。
40,文字列を強調するために、背景に網目模様（グレーの色など）をつける機能の名称は何か？,文字飾り,網掛け,下線,均等割付,ルビ,2,文字の背後に模様を入れる強調機能を網掛けといいます。
41,文字列を強調するために、文字列の下に一本の線を引く機能の名称は何か？,文字飾り,網掛け,下線,均等割付,ルビ,3,文字の下に引く強調線を下線（アンダーライン）といいます。
42,範囲指定した文字列の文字間隔を調整して、文字列の長さを指定した幅に揃える機能は何か？,文字飾り,網掛け,下線,均等割付,ルビ,4,文字数にかかわらず、決まった幅に等間隔で並べる機能を均等割付といいます。
43,入力した漢字などの文字の上に、読み仮名を振る（ふりがなをつける）機能の名称は何か？,文字飾り,網掛け,下線,均等割付,ルビ,5,文字の上や横に読み仮名を付けることをルビといいます。
44,入力した文字列を、元の位置から消して別の位置に移す機能は何か？,コピー,複写,移動,削除,置換,3,ある場所から別の場所へ内容を映し、元から消す操作を移動といいます。
45,入力した文字列を、元の位置にも残したまま別の位置にも複製する機能は何か？,移動,複写,カット,ペースト,削除,2,同じ内容を複製し、複数箇所に作成する操作を複写（コピー）といいます。
46,自分の考えを述べるとき、〜と思いましたなどの個人的な感想は書かないこれはレポート作成として正しいか？,○,×,,,,1,レポートでは客観的・論理的な記述が求められるため、主観的な感想は控えます。
47,内容に厚みを出すために色々な話題を出し、全体の一貫性は考えなくてよいこれはレポート作成として正しいか？,○,×,,,,2,レポートには一つのテーマに沿った筋道の通った一貫性が必要です。
48,レポートには適切なタイトルをつけ、目立つように大きな字で最初に書いておくこれは正しいか？,○,×,,,,1,タイトルによって内容を明示することは、レポートの基本体裁です。
49,事実と意見は、読み手が判断すればよいので区別して書く必要はないこれはレポート作成において正しいか？,○,×,,,,2,客観的な事実と主観的な意見は、明確に区別して書くのがルールです。
50,実験結果や客観的事実は、〜であるという断定的な書き方をするこれは正しいか？,○,×,,,,1,事実を述べる際は、曖昧さを排した断定的な表現（だ・である調）を用います。
51,文字情報だけでなく、グラフや画像を利用して視覚的に情報を伝えることは有効であるこれは正しいか？,○,×,,,,1,図表を用いることで、複雑なデータをわかりやすく伝えることができます。
52,自分の意見を書くときは、〜だと思われるなどの表現を使い、意見とわかるようにしてはいけないこれは正しいか？,○,×,,,,2,自分の考察であることを示すために〜と考えられる〜と思われる等の表現を用います。
53,フォントという言葉の定義として、適切な説明はどれか？,文字の大きさのこと,同じ書体でデザインされた文字の集合体,1ページあたりの行数のこと,画面の表示倍率のこと,フォントサイズを変更するボタンのこと,2,フォントとは、同じコンセプトでデザインされた一揃いの文字セットを指します。
54,【　　】で目立たせたい部分には、力強いゴシック体を使うことが多い。,短文,長文,可読性,疲れる,角,1,見出しなどの短文には、視認性の高いゴシック体が適しています。
55,短文で【　　】部分には、ゴシック体系のフォントを使う。,隠したい,目立たせたい,可読性,明朝体,角,2,読者の注意を惹き目立たせたい箇所には太い書体が使われます。
56,目立たせたい部分には、力強いイメージを持つ【　　】系のフォントを使う。,明朝体,ゴシック,ポップ体,教科書体,行書体,2,線の太さが一定で力強く見えるのはゴシック体です。
57,文章が長い場合には、【　　】を優先してフォントを選ぶ。,デザイン性,可読性,インパクト,色使い,文字の角,2,長文では、読み進めやすさである可読性が最も重要です。
58,可読性を優先して、長文には【　　】を使うことが多い。,ゴシック体,ポップ体,明朝体,太字,斜体,3,日本語の長文において、最も読みやすいのは明朝体とされています。
59,ゴシック体やポップ体は、文字の【　　】が目に刺激を与える。,丸み,角,大きさ,色,重さ,2,ゴシック体は線の端が角張っており、視覚的な刺激（抵抗）が強い書体です。
60,刺激が強いため、【　　】に使うと目が疲れやすくなる。,短文,見出し,看板,長文,ロゴ,4,刺激の強い書体で長文を書くと、読者に負担をかけます。
61,ゴシック体は目に刺激を与えるため、長文に使うと目が【　　】。,冴える,疲れる,閉じる,良くなる,慣れる,2,視覚的な刺激が蓄積されると、読者の目は疲れることになります。
62,ページ設定の画面を表示して文字数や行数を変更したい。操作すべき場所として最も適切な名称は？,タイトルバー,リボン,ページ設定ダイアログ,ステータスバー,スクロールバー,3,ページ全体の詳細な数値設定はページ設定ダイアログボックスで行います。
63,ビジネス文書の体裁において、発信日付・差出人を配置する適切な位置はどれか？,[位置] 文書の右側上端（右上）,[位置] 文書の左側上端（左上）,[位置] 文書の中央部,[位置] 文書の右側下端（右下）,[位置] 文書の左側下端（左下）,1,ビジネス文書では、作成日と差出人名は右上に寄せて配置するのが一般的です。
64,ビジネス文書の体裁において、宛名（相手の名称）を配置する適切な位置はどれか？,[位置] 文書の右側上端（右上）,[位置] 文書の左側上端（左上）,[位置] 文書の中央部,[位置] 文書の右側下端（右下）,[位置] 文書の左側下端（左下）,2,宛名は文書の冒頭、左側に配置します。
65,ビジネス文書の体裁において、標題（タイトル）を配置する適切な位置はどれか？,[位置] 文書の右側上端（右上）,[位置] 文書の左側上端（左上）,[位置] 文書の中央部,[位置] 文書の右側下端（右下）,[位置] 文書の左側下端（左下）,3,タイトル（件名）は一目でわかるよう、中央揃えで配置します。
66,ビジネス文書の体裁において、記書きの内容が終わった後の以上を配置する適切な位置はどれか？,[位置] 文書の右側上端（右上）,[位置] 文書の左側上端（左上）,[位置] 文書の中央部,[位置] 文書の右側下端（右下）,[位置] 記書きの末尾（右端）,5,記で始めた内容の締めくくりとして、末尾に以上を右寄せで書きます。
67,線の太さが均一で力強い特徴を持つ書体は何か？,明朝体,ゴシック体,ポップ体,行書体,教科書体,2,縦横の線の太さがほぼ同じで目立つ書体はゴシック体です。
68,筆の跡のような強弱と飾りが付いている特徴を持つ書体は何か？,明朝体,ゴシック体,ポップ体,行書体,教科書体,1,横線が細く縦線が太い、ハネやハライのある書体は明朝体です。
69,ビジネス文書において、文字列の背景をグレーの網目模様にする装飾の名称は？,囲み線,網かけ,二重下線,斜体,太字,2,背景に模様をのせるのは網かけの機能です。
70,ビジネス文書において、文字列の下に2本の強調線を引く装飾の名称は？,下線,囲み線,二重下線,網かけ,文字飾り,3,2本の線で強調するのは二重下線です。
71,ビジネス文書において、文字列を四角い枠線で囲む装飾の名称は？,囲み線,網かけ,二重下線,斜体,太字,1,枠で囲む機能は囲み線です。
72,文書処理ソフトの画面左上にある、クイック操作用のボタン群の名称は？,クイックアクセスツールバー,タイトルバー,リボン,スクロールバー,ステータスバー,1,頻度の高い機能をショートカットとして置く場所です。
73,画面の最上部中央にある、文書の名前が表示される領域の名称は？,クイックアクセスツールバー,タイトルバー,リボン,スクロールバー,ステータスバー,2,現在開いているファイル名がタイトルバーに表示されます。
74,画面の上部を占める、機能アイコンが集まった領域の名称は？,クイックアクセスツールバー,タイトルバー,リボン,スクロールバー,ステータスバー,3,リボンはWordなどの主要な操作パネルです。
75,画面の右端や下部にあり、表示位置を移動させる操作部の名称は？,クイックアクセスツールバー,タイトルバー,リボン,スクロールバー,ステータスバー,4,スクロールバーで画面の表示領域を調整します。
76,画面の最下部にあり、現在のページ数などがわかる領域の名称は？,クイックアクセスツールバー,タイトルバー,リボン,スクロールバー,ステータスバー,5,文書の統計やモードを確認できるのがステータスバーです。
77,画面の右下にある、表示倍率を調節する機能の名称は？,ズームスライダー,タイトルバー,リボン,スクロールバー,ステータスバー,1,倍率を変更する操作ツールはズームスライダーです。
78,文書処理ソフトで文書を効率的に作成するための順番として、正しいものはどれか？,文字の入力→書式の変更・表図挿入→印刷,印刷→文字の入力→書式の変更・表図挿入,書式の変更・表図挿入→印刷→文字の入力,文字の入力→印刷→書式の変更・表図挿入,表図挿入→印刷→文字の入力,1,まず中身（文字）を書き、その後に体裁を整え、最後に紙に出すのが基本です。
79,入力した文字列を、その行の右端に移動する機能の名称は何か？,右寄せ,センタリング,太字,囲み線,斜体,1,右寄せは、署名や日付などでよく使われます。
80,入力した文字列を、その行の中央に移動する機能の名称は何か？,右寄せ,センタリング,太字,囲み線,斜体,2,センタリングは、タイトルを目立たせる際に使われます。
81,文字列を強調するために、文字列を太く表示する機能の名称は何か？,右寄せ,センタリング,太字,囲み線,斜体,3,太字は視覚的な強弱をつけるための基本機能です。
82,文字列を強調するために、文字列を線で囲む機能の名称は何か？,右寄せ,センタリング,太字,囲み線,斜体,4,囲み線は特定の語句を際立たせるために使います。
83,文字列を強調するために、文字列を斜めに傾ける機能の名称は何か？,右寄せ,センタリング,太字,囲み線,斜体,5,斜体は英字の引用や強調などで多用されます。
84,文字列を強調するために、文字列の下に線を引く機能の名称は何か？,下線,網掛け,文字飾り,均等割付,複写,1,下線はアンダーラインとも呼ばれます。
85,文字列を強調するために、背景に網目模様をつける機能の名称は何か？,下線,網掛け,文字飾り,均等割付,複写,2,網掛けは背景を暗くして文字を浮かび上がらせます。
86,文字列の見た目を良くするために、影付きや中抜きの文字にする機能の名称は何か？,下線,網掛け,文字飾り,均等割付,複写,3,文字飾りには多様な視覚エフェクトが含まれます。
87,文字間隔を調整して、指定された幅に文字列の長さを揃える機能は何か？,下線,網掛け,文字飾り,均等割付,複写,4,均等割付は、異なる文字数の行の幅を揃えるのに便利です。
88,入力した文字列を、別の位置にコピーする機能の名称は何か？,移動,複写,文字飾り,均等割付,ルビ,2,複写はコピーのことで、元のデータはそのまま残ります。
89,入力した文字列を、別の位置に移す機能の名称は何か？,移動,複写,文字飾り,均等割付,ルビ,1,移動はカット＆ペーストのことで、元の場所からは消えます。
90,入力した文字列の上に、ふりがな（読み仮名）を付ける機能の名称は何か？,移動,複写,文字飾り,均等割付,ルビ,5,ルビは難しい漢字の読み方を示すために使われます。
91,レポートで自分の考えを述べるとき、〜と思いましたなどの感想は書かないこの作法は正しいか？,○,×,,,,1,感想ではなく、根拠に基づいた論理的な主張を書くのがレポートです。
92,レポートを作成するとき、客観的な事実と主観的な意見を区別してはいけないこの作法は正しいか？,○,×,,,,2,事実と意見が混ざると、論理性が損なわれるため厳格に区別します。
93,レポートにはタイトルをつけ、目立つように大きな字で最初に書いておくこの作法は正しいか？,○,×,,,,1,適切なタイトル配置は、読み手に対する最低限のマナーです。
94,レポートでは多くの情報を伝えるため、色々な話題を出し、一貫性は考えなくてよいこの作法は正しいか？,○,×,,,,2,テーマがブレると主張が伝わらなくなるため、一貫性は必須です。
95,実験結果や客観的事実を記述するときは、〜であるという断定的な書き方をするこの作法は正しいか？,○,×,,,,1,事実は断定の形で簡潔に記述します。
96,自分の意見を書くとき、〜と思われるなどの表現を使い、意見とわかるようにしてはいけないこの作法は正しいか？,○,×,,,,2,推論や見解であることを示すために〜と思われる等の表現を使います。
97,レポートにおいて、グラフや画像を利用することで視覚的に情報を伝えることができるこれは正しいか？,○,×,,,,1,視覚的要素の活用は、レポートの説得力を高めます。
98,高さと幅がほぼ等しい、ふつうの文字の大きさを、全角（ぜんかく）というこの記述は正しいか？,○,×,,,,1,全角文字は正方形の仮想ボディを持った文字です。
99,全角の半分の幅にした文字の大きさを、半角（はんかく）というこの記述は正しいか？,○,×,,,,1,半角文字は全角の半分の幅（1:2の比率）の文字です。
100,明朝体やゴシック体などの書体デザインの集合を、フォントというこの記述は正しいか？,○,×,,,,1,文字のデザインスタイルを統一したものをフォントと呼びます。
101,文字の大きさを示す単位のことを、ポイントというこの記述は正しいか？,○,×,,,,1,ポイント(pt)は文字サイズの国際的な標準単位です。
102,1行に入力できる文字の数を、文字数というこの記述は正しいか？,○,×,,,,1,1行に何文字入るかの設定値を文字数と呼びます。
103,新聞や国語の教科書のように、文字を上から下へ、右から左へ書くことを縦書きというこの記述は正しいか？,○,×,,,,1,日本語の伝統的な表記スタイルが縦書きです。
104,♪の記号は、おんぷと入力し、変換することで表示できるこの記述は正しいか？,○,×,,,,1,読みを入力して変換する方法は、特殊記号を入力する一般的な手段です。
105,【　　】で目立たせたい部分には力強いゴシック体を使う。,短文,長文,可読性,疲れる,角,1,見出しなどの短文での利用シーンを説明しています。
106,短文で【　　】部分には、力強いイメージの書体を使う。,隠したい,目立たせたい,可読性,疲れる,角,2,強調して注目を集めたい箇所を指します。
107,力強いイメージを持つ【　　】系のフォントを使うことが多い。,明朝体,ゴシック,ポップ体,教科書体,行書体,2,目立たせる用途には、均一な太さのゴシック体が適しています。
108,文章が長い場合には、【　　】を優先してフォントを選ぶ。,デザイン,可読性,インパクト,色,文字の角,2,長文では、読みやすさ（可読性）が重要視されます。
109,可読性を優先して、【　　】を使うことが多い。,ゴシック,ポップ体,明朝体,丸ゴシック,斜体,3,長時間読んでも疲れにくいのが明朝体の特徴です。
110,ゴシック体などは文字の【　　】が目に刺激を与える。,丸み,角,大きさ,色,重さ,2,ゴシック体は線の端（角）がはっきりしており、視覚的抵抗があります。
111,ゴシック体を【　　】に使うと、目が疲れやすくなる。,短文,見出し,ロゴ,長文,タイトル,4,刺激の強い書体を長い文章（長文）に使うと、読者の目が疲れます。
