ID,問題文,選択肢1,選択肢2,選択肢3,選択肢4,選択肢5,正解番号,解説
29,明朝体やゴシック体などをフォントという。,○,×,,,,1,同じデザイン方針で作られた文字の集まりを「フォント」または書体と呼びます。
30,文字の大きさのことをポイントという。,○,×,,,,1,文字の大きさ（サイズ）を表す単位は「ポイント（pt）」が一般的に使われます。
31,１行に入力できる文字の数を文字数という。,○,×,,,,1,1行に収まる文字の最大数を「文字数」と呼びます。
32,文字を縦に書くことを縦書きという。,○,×,,,,1,上から下へと文字を配置するレイアウトを「縦書き」と呼びます。
33,♪はおんぷと入力し変換すると出てくる。,○,×,,,,1,音符記号は「おんぷ」と入力して変換キーを押すことで入力できます。
34,【　　】や目立たせたい部分には、ゴシック体のような力強いイメージのフォントを使うことが多い。,長文,短文,英文,和文,,2,ゴシック体は視認性が高く力強いため、短文や見出しによく使われます。
35,短文や【　　】部分には、ゴシック体のような力強いイメージのフォントを使うことが多い。,隠したい,目立たせたい,装飾したい,消したい,,2,ゴシック体は太さが均等で目立つため、強調したい部分に適しています。
36,短文や目立たせたい部分には、【　　】体のような力強いイメージのフォントを使うことが多い。,明朝,ゴシック,行書,ポップ,,2,力強く目立つ特徴を持ち、見出しなどに多用されるのはゴシック体です。
37,【　　】を優先する場合は明朝体が使われることが多い。,装飾性,可読性,デザイン性,芸術性,,2,長文を読みやすく疲れにくくするためには、可読性（読みやすさ）が重視されます。
38,可読性を優先する場合は【　　】が使われることが多い。,明朝体,ゴシック体,ポップ体,筆記体,,1,明朝体はとめ・はねがあり、文字の形を認識しやすいため長文に適しています。
39,ゴシック体は文字の【　　】が目に刺激を与えるため、長文には目が疲れる。,色,角,丸み,太さ,,2,ゴシック体は線幅が一定で角張っているため、長文だと目に刺激を与えやすくなります。
40,ゴシック体は文字の角が目に刺激を与えるため、【　　】には目が疲れる。,短文,長文,見出し,タイトル,,2,ゴシック体で長文を読むと、文字の角の刺激が多くなり目が疲れやすくなります。
41,ゴシック体は文字の角が目に刺激を与えるため、長文には目が【　　】。,疲れる,優しい,滑る,留まる,,1,長文にゴシック体を用いると目が疲れやすくなるため、本文には明朝体が推奨されます。
42,「保存」や「元に戻す」など、頻繁に使うコマンドを画面左上に配置できる領域の名称を答えなさい。,タイトルバー,ステータスバー,クイックアクセスツールバー,リボン,スクロールバー,3,保存や元に戻すなど、よく使うコマンドを配置できるのは「クイックアクセスツールバー」です。
43,画面の最上部に位置し、現在開いているファイル名やアプリ名が表示される領域の名称を答えなさい。,クイックアクセスツールバー,タイトルバー,ズームスライダー,リボン,ステータスバー,2,ファイル名やソフトウェア名が表示される一番上のバーは「タイトルバー」です。
44,画面上部にあり、機能ごとにタブで整理されたコマンドボタンがまとまっている帯状の領域の名称を答えなさい。,リボン,スクロールバー,タイトルバー,クイックアクセスツールバー,ズームスライダー,1,上部にある、コマンドが機能ごとにタブで整理されている領域は「リボン」です。
45,画面に収まりきらない部分を表示するために、画面を上下左右にスライドさせるバーの名称を答えなさい。,ステータスバー,ズームスライダー,タイトルバー,リボン,スクロールバー,5,表示領域外を見るためにドラッグして画面を動かすのは「スクロールバー」です。
46,画面の最下部に位置し、現在のページ数や文字数などの状態を表示する領域の名称を答えなさい。,ステータスバー,タイトルバー,クイックアクセスツールバー,スクロールバー,リボン,1,現在のページや文字数などの状態（ステータス）を表示する下部のバーです。
47,画面の右下にあり、スライダーを動かして画面の表示倍率（拡大・縮小）を変更できる機能の名称を答えなさい。,ズームスライダー,リボン,ステータスバー,タイトルバー,スクロールバー,1,スライダーを左右に動かして画面の拡大・縮小を行うのは「ズームスライダー」です。
48,文書作成の効率的な順番として正しいものを選びなさい,印刷 → 書式の変更 → 文字の入力,文字の入力 → 書式の変更・図表の挿入 → 印刷,書式の変更 → 文字の入力 → 印刷,文字の入力 → 印刷 → 書式の変更,,2,文書作成は「入力」→「編集・修飾・図表挿入」→「印刷」の順で行うのが最も効率的です。
49,行揃えを設定できるタブ名を答えなさい,挿入,レイアウト,ホーム,デザイン,,3,右寄せや中央揃えなどの配置は「ホーム」タブの段落グループで設定します。
50,下線や太字、斜体の設定ができるタブ名を答えなさい,挿入,レイアウト,ホーム,表示,,3,フォントの基本的な装飾（太字、下線、斜体など）は「ホーム」タブで設定します。
51,表や図、写真などを挿入することができるタブ名を答えなさい,挿入,レイアウト,ホーム,校閲,,1,外部の要素（表、図形、写真など）を追加する場合は「挿入」タブから行います。
52,ページ設定をすることができるタブ名を答えなさい,ホーム,挿入,レイアウト,表示,,3,用紙サイズ、余白、文字数・行数などのページ設定は「レイアウト」タブで行います。
53,行頭文字を設定することができるタブ名を答えなさい,挿入,レイアウト,ホーム,デザイン,,3,箇条書きのマークや段落番号などの行頭文字は「ホーム」タブで設定します。
54,フォントやフォントサイズを設定できるタブ名を答えなさい,挿入,レイアウト,ホーム,表示,,3,文字の種類（フォント）や大きさは「ホーム」タブのフォントグループで変更します。
55,用紙の方向や余白を変更するタブ名を答えなさい,ホーム,挿入,レイアウト,校閲,,3,用紙の向き（縦・横）や余白の広さの設定は「レイアウト」タブで行います。
56,5行5列の表を挿入する場合の操作を示しなさい,表の挿入画面で3行3列を塗りつぶす,表の挿入画面で5行5列を塗りつぶす,表の挿入画面で5行3列を塗りつぶす,表の挿入画面で3行5列を塗りつぶす,,2,「表の挿入」から作成したい行数・列数分（この場合は5行5列）のマス目を選択します。
57,フォントとはなにか説明しなさい,同じ書体でデザインされた文字の集合体,文字の大きさを表す単位,行間の広さを示す値,文字の色の種類,,1,フォントとは、共通のデザインコンセプトで作られた文字（書体）のデータや集合体のことです。
58,【　　】や目立たせたい部分には、ゴシック体のようなフォントを使う。,長文,短文,英文,和文,,2,ゴシック体はパッと見て目立ちやすいため、長文ではなく短文や見出しに適しています。
59,短文や【　　】部分には、ゴシック体のようなフォントを使う。,隠したい,目立たせたい,装飾したい,消したい,,2,ゴシック体は力強い印象を与えるため、読者の目を引きたい（目立たせたい）部分に適しています。
60,短文や目立たせたい部分には、【　　】体のような力強いイメージのフォントを使う。,明朝,ゴシック,行書,ポップ,,2,線が太く一定で、力強く目立つ特徴を持つのはゴシック体です。
61,【　　】を優先する場合は明朝体が使われることが多い。,装飾性,可読性,デザイン性,芸術性,,2,長文をスムーズに読ませるためには、読みやすさ（可読性）が最優先されます。
62,可読性を優先する場合は【　　】が使われることが多い。,明朝体,ゴシック体,ポップ体,筆記体,,1,明朝体はとめ・はねがあり、文字の骨格が認識しやすいため長文の可読性に優れています。
63,ゴシック体は文字の【　　】が目に刺激を与えるため、長文には不向きである。,色,角,丸み,太さ,,2,ゴシック体は線の端が四角くなっている（角がある）ため、連続すると目への刺激になります。
64,文字の角が目に刺激を与えるため、【　　】には目が疲れる。,短文,長文,見出し,タイトル,,2,ゴシック体で文字量の多い長文を読むと、角の刺激が連続して目が疲れやすくなります。
65,文字の角が目に刺激を与えるため、長文には目が【　　】。,疲れる,優しい,滑る,留まる,,1,長文にゴシック体を用いると目が疲れやすくなるため、本文には明朝体が推奨されます。
66,横線が細く縦線が太い、とめ・はね・はらいがある書体の種類は何か。,ゴシック体,明朝体,ポップ体,行書体,,2,毛筆で書いたようなとめ・はね・はらいがあり、縦横の線の太さが違うのが明朝体の特徴です。
67,線幅が一定で飾りのない書体の種類は何か。,ゴシック体,明朝体,ポップ体,行書体,,1,縦横の線の太さがほぼ同じで、端の飾りが少ないのがゴシック体の特徴です。
68,等幅フォントについての説明で正しいものはどれか。,文字の形状によって幅が異なるフォント,文字の幅を一定にそろえたフォント,文字の縦の長さをそろえたフォント,文字の太さを一定にしたフォント,,2,「等幅」という名の通り、すべての文字が同じ幅の枠内に収まるようにデザインされたフォントです。
69,プロポーショナルフォントについての説明で正しいものはどれか。,文字の形状によって幅が異なるフォント,文字の幅を一定にそろえたフォント,文字の縦の長さをそろえたフォント,文字の太さを一定にしたフォント,,1,「W」は広く「I」は狭くなど、文字本来の形に合わせて文字幅が最適化されているフォントです。
70,ビジネス文書において、文書を管理しやすくするために右上に記載する通し番号の名称を答えなさい。,発信日付,文書番号,件名,結語,,2,文書を管理しやすくするために、一番右上に記載する通し番号が「文書番号」です。
71,ビジネス文書において、いつ作成されたかを示すために右上に記載する日付の名称を答えなさい。,発信日付,文書番号,件名,結語,,1,いつ出された文書かを示すために右上に記載する日付が「発信日付」です。
72,ビジネス文書において、誰宛ての文書かを示すために左上に記載する宛先の名称を答えなさい。,発信者名,受信者名,件名,別記,,2,誰宛て（どこ宛て）の文書かを示すため、左上に一番大きく記載するのが「受信者名」です。
73,ビジネス文書において、誰からの文書かを示すために右側に記載する差出人の名称を答えなさい。,発信者名,受信者名,件名,別記,,1,誰からの文書かを示すため、受信者名の少し下の右側に配置するのが「発信者名」です。
74,ビジネス文書において、何についての文書かが一目でわかるように中央に配置するタイトルの名称を答えなさい。,前文,結語,件名,別記,,3,何についての文書かが一目でわかるように、中央に少し大きめの字で書くのが「件名」です。
75,ビジネス文書において、本題（目的の要件）に入る前に書く、時候の挨拶などをまとめた部分の名称を答えなさい。,結語,別記,前文,追って書き,,3,「拝啓」などの頭語に続く、時候の挨拶や感謝の言葉などをまとめた部分が「前文」です。
76,ビジネス文書において、「敬具」や「草々」など、本文の最後に配置して文書を締めくくる言葉の名称を答えなさい。,結語,別記,前文,追って書き,,1,「敬具」や「草々」など、本文の最後に右下へ配置して文書を締めくくる言葉が「結語」です。
77,ビジネス文書において、日時や場所などの詳細事項を「記」として中央に書き、箇条書きでまとめる部分の名称を答えなさい。,結語,別記,前文,追って書き,,2,日時や場所などの詳細事項を「記」として中央に書き、箇条書きでまとめる部分が「別記」です。
78,ビジネス文書において、本文に入れられなかった補足や念押しなどを付け加える部分の名称を答えなさい。,結語,別記,前文,追って書き（追伸）,,4,本文に入れられなかった補足や念押しなどを「追伸」として付け加える部分です。
79,「保存」や「元に戻す」など、頻繁に使うコマンドを画面左上に配置できる領域の名称を答えなさい。,タイトルバー,ステータスバー,クイックアクセスツールバー,リボン,スクロールバー,3,保存や上書きなど、頻繁に使うコマンドを画面左上に配置できるのは「クイックアクセスツールバー」です。
80,画面の最上部に位置し、現在開いているファイル名やアプリ名が表示される領域の名称を答えなさい。,クイックアクセスツールバー,タイトルバー,ズームスライダー,リボン,ステータスバー,2,現在開いているファイルの名前が表示される一番上の部分は「タイトルバー」です。
81,画面上部にあり、機能ごとにタブで整理されたコマンドボタンがまとまっている帯状の領域の名称を答えなさい。,リボン,スクロールバー,タイトルバー,クイックアクセスツールバー,ズームスライダー,1,タブをクリックすることで様々なコマンドが切り替わる帯状の領域は「リボン」です。
82,画面に収まりきらない部分を表示するために、画面を上下左右にスライドさせるバーの名称を答えなさい。,ステータスバー,ズームスライダー,タイトルバー,リボン,スクロールバー,5,ページの下部など、画面に収まりきらない部分を見るために動かすのは「スクロールバー」です。
83,画面の最下部に位置し、現在のページ数や文字数などの状態を表示する領域の名称を答えなさい。,ステータスバー,タイトルバー,クイックアクセスツールバー,スクロールバー,リボン,1,画面左下などにページ番号や文字数などを表示して状態を知らせるのが「ステータスバー」です。
84,画面の右下にあり、スライダーを動かして画面の表示倍率（拡大・縮小）を変更できる機能の名称を答えなさい。,ズームライダー,リボン,ステータスバー,タイトルバー,スクロールバー,1,右下のスライダーを動かして画面を拡大・縮小できるのは「ズームスライダー」です。（※選択肢1はズームライダーの誤記）
85,文書作成の効率的な順番として正しいものを選びなさい,文字の入力 → 書式の変更・図表の挿入 → 印刷,印刷 → 書式の変更 → 文字の入力 → 図表の挿入,書式の変更 → 文字の入力 → 図表の挿入 → 印刷,文字の入力 → 印刷 → 書式の変更 → 図表の挿入,,1,文書作成は「入力」→「編集・修飾・図表挿入」→「印刷」の順で行うのが最も効率的です。
86,高さと幅がほぼ等しい文字の大きさを本格という。,○,×,,,,2,縦横比が1:1の標準的な文字サイズは「全角」です。「本格」という用語はありません。
87,幅が全角の半分にした文字の大きさを半角という。,○,×,,,,1,全角文字の半分の幅（縦長）を持つ文字サイズを「半角」と呼びます。
88,明朝体やゴシック体などをフォントという。,○,×,,,,1,文字のデザインが統一された書体の集まりを「フォント」と呼びます。
89,文字の大きさのことをポイントという。,○,×,,,,1,Wordなどで文字の大きさ（サイズ）を指定する際によく使われる単位は「ポイント（pt）」です。
90,１行に入力できる文字の数を行数という。,○,×,,,,2,1行に入力できる文字の数は「文字数」です。「行数」は1ページに入る行の数です。
91,文字の書くことを縦書きという。,○,×,,,,1,文字を上から下に向かって配置していく書式を「縦書き」と呼びます。
92,〒はゆうびんと入力し変換すると出てくる。,○,×,,,,1,郵便番号記号（〒）は「ゆうびん」と入力して変換キーを押すことで出すことができます。
93,3行5列の表を挿入する場合の操作を示しなさい,5行3列をドラッグする,3行5列をドラッグする,3行3列をドラッグする,5行5列をドラッグする,,2,「表の挿入」から、縦に3マス（3行）、横に5マス（5列）の範囲をドラッグして選択します。
94,入力した文字列を、その行の中央に移動する機能,右寄せ,左寄せ,センタリング,均等割付,,3,文字列を行の真ん中に配置する機能は「センタリング（中央揃え）」です。
95,入力した文字列を、その行の右端に移動する機能,右寄せ,センタリング,均等割付,左寄せ,,1,文字列を右の余白に合わせて配置する機能は「右寄せ」です。
96,文字列を強調するために、文字列を太く表示する機能,斜体,下線,太字,網掛け,,3,文字を太くして目立たせる機能は「太字（ボールド）」です。
97,文字列を強調するために、文字列を斜めに傾ける機能,太字,斜体,文字飾り,ルビ,,2,文字を斜めに傾けて表示する機能は「斜体（イタリック）」です。
98,文字列を強調するために、文字列を線で囲む機能,網掛け,文字飾り,下線,囲み線,,4,文字の周囲をぐるっと線で囲んで目立たせるのは「囲み線」です。
99,文字列を強調するために、文字列の下に線を引く機能,下線,網掛け,囲み線,太字,,1,文字のすぐ下に線を引く機能は「下線（アンダーライン）」です。
100,文字列を強調するために、網目模様をつける機能,文字飾り,囲み線,網掛け,下線,,3,文字の背景に色や模様をつけてマーカーのように強調するのは「網掛け」です。
101,文字の見た目を良くするために影付き等にする機能,文字飾り,ルビ,均等割付,斜体,,1,文字に影や縁取り、光彩などの効果をつけて装飾するのは「文字飾り」です。
102,文字間隔を均等にして、文字列の長さを揃える機能,センタリング,均等割付,右寄せ,複写,,2,指定した文字幅に合わせて、文字と文字の間隔を均一に広げるのは「均等割付」です。
103,入力した文字列を、別の位置にコピーする機能,移動,複写,削除,ルビ,,2,元の場所の文字列を残したまま、別の場所にも同じものを配置するのは「複写（コピー）」です。
104,入力した文字の上にふりがなをつけること,文字飾り,網掛け,ルビ,囲み線,,3,漢字などの上にふりがな（読み方）を振る機能は「ルビ」です。
105,入力した文字列を、別の位置に移す機能,複写,移動,均等割付,削除,,2,元の場所から文字列を消し、別の場所に配置し直すのは「移動（カット＆ペースト）」です。
106,客観的事実は〜であると断定的な書き方をする。,○,×,,,,2,レポートでは曖昧な表現を避け、客観的事実は「〜である」と断定的に記述します。（※元の正解番号2は「×」ですが、文脈上「○(1)」が正しい可能性があります。元の設定に従っています）
107,グラフや画像を利用することで視覚的に情報を伝える。,○,×,,,,1,グラフや画像は、テキストだけでは伝わりにくい数値を視覚的に分かりやすく伝えます。
108,レポートにはタイトルをつけ大きな字で最初に書く。,○,×,,,,1,タイトルは主題を示す重要な要素なので、最初に一番目立つように大きく書きます。
109,色々な話題を出し、一貫性は考えない。,○,×,,,,2,レポートは思いつきで書くのではなく、一つのテーマに対する論理的な一貫性が重要です。
110,考えを述べる際〜と思いました等の感想は書かない。,○,×,,,,1,レポートでは客観性が求められるため、単なる主観的な感想は避けるべきです。
111,自分の意見は意見とわかるように書かない。,○,×,,,,2,自分の意見を述べる際は「〜と考える」など、事実とは区別して意見であることが分かるように書きます。
112,事実と意見は区別しない。,○,×,,,,2,客観的な「事実」と主観的な「意見」は、読み手が混同しないように明確に分けて書く必要があります。
113,フォントとはなにか,【　　】を表す単位,同じ【　　】でデザインされた文字の集合体,【　　】の広さを示す値,【　　】の色の種類,,2,フォントとは、共通のデザインコンセプト（書体）で作られた文字の集合体のことです。
114,【　　】や目立たせたい部分には、ゴシック体のようなフォントを使う。,長文,短文,英文,和文,,2,ゴシック体は視認性が高く力強いため、短文や見出しによく使われます。
115,短文や【　　】部分には、ゴシック体のようなフォントを使う。,隠したい,目立たせたい,装飾したい,消したい,,2,ゴシック体は太さが均等で目立つため、強調したい部分に適しています。
116,短文や目立たせたい部分には、【　　】体のような力強いイメージのフォントを使う。,明朝,ゴシック,行書,ポップ,,2,力強く目立つ特徴を持ち、見出しなどに多用されるのはゴシック体です。
117,【　　】を優先する場合は明朝体が使われることが多い。,装飾性,可読性,デザイン性,芸術性,,2,長文を読みやすく疲れにくくするためには、可読性（読みやすさ）が重視されます。
118,可読性を優先する場合は【　　】が使われることが多い。,明朝体,ゴシック体,ポップ体,筆記体,,1,明朝体はとめ・はねがあり、文字の形を認識しやすいため長文に適しています。
119,ゴシック体は文字の【　　】が目に刺激を与えるため、長文には不向きである。,色,角,丸み,太さ,,2,ゴシック体は線幅が一定で角張っているため、長文だと目に刺激を与えやすくなります。
120,文字の角が目に刺激を与えるため、【　　】には目が疲れる。,短文,長文,見出し,タイトル,,2,ゴシック体で長文を読むと、文字の角の刺激が多くなり目が疲れやすくなります。
121,文字の角が目に刺激を与えるため、長文には目が【　　】。,疲れる,優しい,滑る,留まる,,1,長文にゴシック体を用いると目が疲れやすくなるため、本文には明朝体が推奨されます。
122,文字数・行数変更のためのページ設定画面はどこか,ホームタブ段落グループ,挿入タブ表グループ,レイアウトタブページ設定グループ右下の矢印ボタン,表示タブズームグループ,,3,詳細なページ設定は「レイアウト」タブのページ設定グループ右下にある矢印（ダイアログボックス起動ツール）から開きます。
123,発信者名の整列に適する配置はどれか。,左寄せ,中央揃え,右寄せ,均等割付,,3,発信者名（差出人）は文書の右側に配置するルールがあるため、「右寄せ」が適しています。
124,発信日付の整列に適する配置はどれか。,左寄せ,中央揃え,右寄せ,均等割付,,3,発信日付も文書の右上に配置するルールがあるため、「右寄せ」が適しています。
125,件名の整列に適する配置はどれか。,左寄せ,中央揃え,右寄せ,均等割付,,2,件名（タイトル）は目立たせるために「中央揃え」にするのが一般的です。
126,線幅が一定で飾りのない特徴を持つ字体名を答えなさい,ゴシック体,明朝体,行書体,ポップ体,,1,縦横の線の太さがほぼ同じで、端の飾りが少ないのがゴシック体の特徴です。
127,横線が細く縦線が太い、とめ・はね・はらいがある特徴を持つ字体名を答えなさい,ゴシック体,明朝体,行書体,ポップ体,,2,毛筆で書いたようなとめ・はね・はらいがあり、縦横の線の太さが違うのが明朝体の特徴です。
