"ID","問題文","選択肢1","選択肢2","選択肢3","選択肢4","正解番号","解説"
"35","情報デザインにおける構造化の説明として、最も適切なものはどれか。","情報を簡略化してピクトグラムにすること","要素同士の関係性や順序を分かりやすく整理すること","情報をランダムに配置すること","写真を使ってリアルに伝えること","2","階層構造や分岐、順序などを整理して、情報のつながりを見えるようにすることです。"
"36","情報デザインのデザイン例のうち、抽象化に該当するものはどれか。","詳細な地図写真","売上推移を示す折れ線グラフ","本質的な特徴だけを抽出したピクトグラム","Webサイトの全リンク一覧","3","ピクトグラムは、対象の特徴を最小限の要素で表現した抽象化の代表例です。"
"37","情報デザインのデザイン例のうち、構造化に該当するものはどれか。","円グラフや棒グラフ","関係性を示す階層図や分岐図（フローチャート）","詳細な文章の記述","カラフルなイラスト","2","情報の分類や論理的なつながりを整理した図解が構造化にあたります。"
"38","情報デザインの三側面として挙げられる要素は、理論表現と、あと一つは何か。","機能","インフラ","モラル","法律","1","整理するための理論、伝えるための表現、操作性を高めるための機能の3つが重要です。"
"40","大量のデータからパターンや特徴を見出し、価値ある情報を抽出する技術を何というか。","テキストマイニング","画像認識","データマイニング","アクセシビリティ","3","膨大なデータの山（鉱山）から価値（鉱石）を探り当てるイメージの技術です。"
"41","文章データから特定の言葉を取り出して、回答の傾向や相関を分析する技術を何というか。","画像認識","テキストマイニング","データマイニング","接続情報","2","自由記述のアンケートやSNSの投稿など、非定型な文章を分析する手法です。"
"42","AIが画像データから特定の物体や顔を識別する技術を何というか。","テキストマイニング","データマイニング","画像認識","位置情報","3","写真や動画のピクセル情報を解析して、何が写っているかを判断する技術です。"
"43","GPSを利用して得られる情報は、次のうちどれか。","接続情報","位置情報","利用状況","音声データ","2","衛星からの電波を受け取り、自身の緯度・経度を特定する情報です。"
"44","スマートフォンや無線LANへのアクセスポイントから得られる情報を何というか。","位置情報","接続情報","利用状況","マイニングデータ","2","どの機器がどのネットワークにいつ接続したかを示すログ情報です。"
"45","交通系ICカードの履歴から得られる駅の通過記録などは、情報の分類としてどれに当たるか。","位置情報","接続情報","利用状況","テキストマイニング","3","サービスをどのように利用したかという履歴（ログ）を指します。"
"47","メディア広告において、テレビ、ラジオ、新聞のように不特定の相手や広い範囲を対象とする分類を何と呼ぶか。","分類A（マスメディア的性質）","分類B（ターゲットメディア的性質）","双方向メディア","クローズドメディア","1","不特定多数に対して一斉に情報を拡散するのに適したメディアの性質です。"
"48","メディア広告において、ダイレクトメールやポスターのように特定の相手や狭い範囲を対象とする分類を何と呼ぶか。","分類A（広域型）","分類B（限定型）","放送メディア","デジタルメディア","2","届けたい相手を絞り込んだり、設置場所を限定したりするメディアの性質です。"
"49","メディア新聞を使って広告する場合、対象範囲の分類として適切なものはどれか。","不特定多数・広範囲 (分類A)","特定少数・狭い範囲 (分類B)","1対1の密接な関係","時間の共有が必要な範囲","1","新聞は発行部数が多く、広範囲の不特定多数に情報を届けることができます。"
"50","メディアポスターを使って広告する場合、対象範囲の分類として適切なものはどれか。","不特定多数・広範囲 (分類A)","特定少数・狭い範囲 (分類B)","インターネット利用者全員","全世界の視聴者","2","ポスターは掲示された場所を通る人という、特定の範囲の人に限定されます。"
"51","メディアダイレクトメールを使って広告する場合、対象範囲の分類として適切なものはどれか。","不特定多数・広範囲 (分類A)","特定少数・狭い範囲 (分類B)","テレビの全視聴者","ラジオの全聴取者","2","宛名を指定して送付するため、特定の相手をターゲットにしています。"
"52","複数のメディア（テレビ、雑誌、Webなど）を組み合わせて、より多くの対象に情報を発信することを何というか。","メディアミックス","クロスメディア","データマイニング","ワンソース・マルチユース","1","同一の素材を多種多様なメディアで同時展開し、認知度を高める手法です。"
"53","複数のメディアを連動させ、相互に誘導し合うことで相乗効果を引き出す広告手法を何というか。","メディアミックス","クロスメディア","インフィード型","ステルスマーケティング","2","WebとTVCMを連動させるなど、媒体をまたいだユーザー体験を設計します。"
"54","コンテンツ制作において、文字だけでは伝わりにくい情報を補完するために有効な要素はどれか。","画像","音声","ワイヤーフレーム","SEO","1","視覚的な画像は、言語の壁を越えて直感的に情報を伝える力があります。"
"55","動画コンテンツが静止画コンテンツよりも優れている点は、情報の量がどうなることか。","少なくなる","多くなる","変わらない","判別不能になる","2","時間軸を持つ動画は、動きや音声、時間的変化など、より多くの情報を伝達できます。"
"56","Webサイト制作において、機器の使い方や画面の操作感、利用者と情報の接点を何というか。","アクセシビリティ","ユーザインターフェース（UI）","プロトタイプ","SEO","2","UIは、ボタンの配置やメニューの分かりやすさなど、操作のしやすさを左右します。"
"57","高齢者や障害者など、誰もが情報を利用できる状態やその尺度を何というか。","ユーザインターフェース","アクセシビリティ","プロトタイプ","データマイニング","2","アクセスしやすさを意味し、多様なユーザーへの配慮を指す概念です。"
"58","コンテンツ制作において、改善を前提として早期に作成される試作品を何というか。","プロトタイプ","ワイヤーフレーム","ストーリーボード","完成品","1","早い段階で完成イメージを確認し、修正を行うためのモデルです。"
"59","プロトタイプを作成することで得られる、設計の品質を高めるための意見や反応を何というか。","フィードバック","SEO","バックアップ","アップデート","1","利用者や開発チームからの意見を取り入れることで、手戻りを防ぎます。"
"60","画面レイアウトを紙とペンで手軽に描いて表現するプロトタイプの手法を何というか。","ワイヤーフレーム","ストーリーボード","ペーパープロトタイプ","デジタルプロトタイプ","3","低コストかつ短時間でアイデアを形にする手法です。"
"61","Webページの骨組みを定め、ボタンや画像の配置場所を示した設計図を何というか。","ストーリーボード","ワイヤーフレーム","ペーパープロトタイプ","サイトマップ","2","配色は含めず、情報のレイアウト（構造）を確定させるためのものです。"
"62","1つのユーザー体験を複数のコマに分け、時系列で表現した設計手法を何というか。","ワイヤーフレーム","ストーリーボード","ペーパープロトタイプ","テキストマイニング","2","利用シーンや操作の流れを絵コンテのように視覚化したものです。"
"63","自社や自個人でコントロール・所有しているWebページやブログメディアを何というか。","オウンドメディア","アーンドメディア","ソーシャルメディア","マスメディア","1","Owned（所有された）メディアであり、公式な情報発信に用いられます。"
"64","SNSや口コミサイトなど、ユーザーの評価を通じて信頼や評判を獲得するメディアを何というか。","オウンドメディア","アーンドメディア","ソーシャルメディア","有料広告","2","Earned（獲得された）メディアであり、第三者の声としての信頼性が期待されます。"
"65","不特定多数に向けて一方的に発信するのではなく、利用者が相互に情報をやり取りするメディアはどれか。","オウンドメディア","アーンドメディア","ソーシャルメディア","テレビ放送","3","双方向のコミュニケーションが特徴のメディアです。"
"66","SNSで多数のフォロワーを持ち、消費者の意識や行動に大きな影響を与える人物を何というか。","クリエイター","ディレクター","インフルエンサー","アナリスト","3","アーンドメディアにおける強力な情報発信源となります。"
"67","広告であることを隠し、第三者の感想などを装って情報を発信する不適切な行為を何というか。","SEO対策","アクセシビリティ改善","ステルスマーケティング","データマイニング","3","消費者の判断を誤らせる行為として、法規制や規程の対象となります。"
"68","検索エンジンでの検索結果において、自社のサイトを上位に表示させるための最適化手法を何というか。","UI","UX","SEO","POS","3","Search Engine Optimizationの略で、適切な情報提供のための技術的工夫です。"
"69","SEO対策として、ブラウザのタブや検索結果のタイトルとして表示されるどのタグを適切に設定すべきか。","<body>タグ","<img>タグ","<title>タグ","<a>タグ","3","titleタグはページの内容を簡潔に示す最も重要な要素の一つです。"
"70","SEO対策において、ページの概要を記述し検索結果のスニペットとして使われる要素は何か。","meta description","alt属性","href属性","class名","1","ユーザーがクリックするかどうかを判断する材料となる説明文です。"
"71","SEO対策として、ページ内の見出しを適切に示すために使用するHTMLタグはどれか。","<span>タグ","<h1>タグや<h2>タグ","<br>タグ","<header>タグ","2","h1タグなどの見出しにキーワードを入れることで、検索エンジンが内容を理解しやすくなります。"
"72","SEO対策において、画像の内容をテキストで説明し、音声読み上げ等にも利用される属性は何か。","src属性","href属性","alt属性","target属性","3","代替テキストと呼ばれ、アクセシビリティ向上とSEOの両面で重要です。"
"73","SEOにおいて、過度なキーワードの詰め込みを避けるべき理由は何か。","通信速度が向上するから","検索エンジンのクローラーを壊すから","読み手の利便性を損ない、評価が下がる可能性があるから","著作権法に触れるから","3","検索エンジンはユーザーにとっての有益さを重視するため、不自然な文章は嫌われます。"
"74","検索エンジンの順位決定において、スマートフォンでの閲覧のしやすさを評価する基準を何というか。","モバイルフレンドリー","アクセシビリティ","UIデザイン","データマイニング","1","スマホ利用者の増加に伴い、モバイル対応の有無がSEOの重要な指標となっています。"
"75","メディアの記事の中に、あたかもコンテンツの一部であるかのように自然に配置される広告を何というか。","バナー広告","ポップアップ広告","ネイティブアド","看板広告","3","メディアの体裁に合わせた形式で、ユーザーの体験を妨げにくい広告です。"
"76","ネイティブアドのうち、ニュース一覧やSNSのタイムラインの途中に挿入される形式を何というか。","ペイドサーチ型","インフィード型","レコメンドウィジェット型","検索連動型","2","コンテンツの流れ（フィード）の中に配置される広告です。"
"77","ネイティブアドのうち、検索キーワードに連動して検索結果の上位に表示される形式を何というか。","インフィード型","レコメンドウィジェット型","ペイドサーチ型","SNS型","3","ユーザーの検索意図に直接アプローチする、検索連動型広告です。"
"78","ネイティブアドのうち、記事の下部におすすめの記事として表示される形式を何というか。","インフィード型","ペイドサーチ型","レコメンドウィジェット型","動画広告型","3","ユーザーが読んだ内容に関連する広告を表示する仕組みです。"
"79","ネイティブアドのうち、ショッピングサイト等の商品・サービスリストの中に表示される形式を何というか。","インフィード型","レコメンドウィジェット型","ペイドサーチ型","プロモートリスティング型","4","特定の商品を探しているユーザーのリスト内に広告を混ぜて表示します。"
"80","ステルスマーケティングを防止するため、ネイティブアドにおいて明示すべき表記はどれか。","ニュース","おすすめ","PR広告プロモーションなどの文言","コラム","3","広告であることを隠さず、広告主を明確にすることがルール化されています。"
"81","POSシステムにおいて、レジを通過した際に収集される販売データに含まれないものはどれか。","商品名","販売日時","販売価格","顧客の銀行口座番号","4","決済手段は管理されますが、通常、銀行口座番号そのものはPOSデータに含めません。"
"82","情報社会における知的財産権のうち、特許や意匠とは異なり、申請なしで発生する権利はどれか。","特許権","実用新案権","商標権","著作権","4","著作権は作品を作った瞬間に発生する無方式主義を採用しています。"
"83","著作権法で、作品の内容を自分の意向に反して勝手に改変されない権利を何というか。","複製権","公衆送信権","氏名表示権","同一性保持権","4","著作者人格権の一つであり、作品の質や意図を守るための権利です。"
"84","情報の要素を抜き出す行為を何というか。","可視化","構造化","抽象化","フィードバック","3","地図で建物を記号化するような、本質抽出のプロセスです。"
"85","情報を整理するための理論に基づき、情報の階層構造を作る行為はどれか。","抽象化","可視化","構造化","UIデザイン","3","論理的な分類や順序を組み立てるデザイン工程です。"
"86","情報を視覚的に表現する例として、適切なものはどれか。","詳細な仕様書の作成","売上データのCSV出力","折れ線グラフや円グラフの作成","AIアルゴリズムの構築","3","数値を面積や長さの比率に置き換える行為を指します。"
"87","AIが渋滞予測をする際、主に活用されるデータの組み合わせはどれか。","アンケート結果と画像","位置情報と移動速度の推移","接続情報とブラウザ履歴","著作権情報と個人情報","2","GPS等の位置データと時間の変化を分析して予測を行います。"
"88","AIの普及により、人間に今後求められる能力として挙げられているものは何か。","データの単純入力能力","計算の正確さ","知恵や創造力","マニュアルの暗記力","3","AIが得意なパターン処理に対し、人間は新しい価値を創出する力が重要になります。"
"89","1つの素材を複数のメディアで使い回す戦略を何と呼ぶか。","メディアミックス","クロスメディア","ワンソース・マルチユース","データマイニング","3","例えば1つのキャラクターをアニメ、ゲーム、グッズに展開することを指します。"
"90","コミュニケーションの時間的特徴において、送信と受信が同時であることを何というか。","非同期","同期（共有）","一方向","双方向","2","電話や会話のように、リアルタイムで反応が返る状態です。"
"91","1対1の人数的特徴を持ち、かつ時間の非共有（非同期）な手段はどれか。","電話","電子メール","会議","会話","2","特定の相手に対し、相手が不在でもメッセージを残せる手段です。"
"92","多対多の人数的特徴を持ち、かつ場所の共有が必要な手段はどれか。","電子掲示板","テレビ放送","対面での会議","電話","3","複数の人が1つの場所に集まって議論する形態です。"
"93","Webサイトにおいて誰にとっても使いやすい設計を目指す際の指針となる概念はどれか。","アクセシビリティとユニバーサルデザイン","SEOとデータマイニング","プロトタイプとストーリーボード","インフルエンサーマーケティング","1","特定の誰かだけでなく、すべてのユーザーへの配慮を含む概念です。"
"94","プロトタイプ制作において、開発の初期段階で手戻りを少なくする最大の理由は何か。","著作権を早く登録するため","早い段階でフィードバックを得て修正できるため","AIに自動でコードを書かせるため","法律の規制を逃れるため","2","完成後に大きな修正をするとコストがかかるため、初期の試作が有効です。"
"95","オウンドメディアとアーンドメディアの大きな違いはどこにあるか。","文字数の制限","発信者がコンテンツをコントロールできるかどうか","有料か無料か","画像があるかどうか","2","オウンドは自社管理、アーンドは他者（ユーザー）の評価に基づきます。"
"96","インフルエンサーによる情報発信が、自社のオウンドメディアより有効な場合はどのような時か。","情報を一箇所に隠したい時","自社を全く知らない層に、信頼感を持って届けたい時","法律を無視したい時","費用を全くかけたくない時","2","第三者による推奨は、自社の宣伝よりも消費者に受け入れられやすい傾向があります。"
"97","検索エンジンのクローラーに対して、画像の意味を正確に伝えるための設定はどれか。","alt属性への記述","src属性の変更","画像のファイルサイズを大きくする","画像を非表示にする","1","クローラーは画像を直接見ることが難しいため、テキスト（alt）で説明します。"
"98","読み手が使いそうな言葉や文章を意識して執筆することがSEOに繋がる理由はどれか。","検索キーワードと一致しやすくなるから","サーバーが軽くなるから","著作権が強くなるから","デザインがきれいになるから","1","ユーザーが検索窓に打ち込む言葉（ニーズ）に応えることがSEOの基本です。"
"99","ネイティブアドが広告であることを明示しなかった場合に発生するリスクは何か。","通信速度の低下","ステルスマーケティングとして社会的信用の失墜や法的規制を受ける","著作権が消滅する","SEOの順位が急上昇する","2","消費者を騙す意図があるとみなされ、ブランドイメージを大きく損ないます。"
"100","情報Ⅱの学びにおいて、情報技術を扱う上で最も大切にすべき姿勢はどれか。","技術を悪用して利益を得ること","情報を的確に活用し、社会に貢献しようとする態度","法律を無視して自由を追求すること","デザインの見た目だけを重視すること","2","高度な技術を正しく理解し、社会を良くするために使う姿勢が学習のゴールです。"
"101","情報システムにおける入力・処理・出力の例として、自動改札機で正しいものはどれか。","入力：切符の投入、処理：有効性の判定、出力：扉の開閉","入力：目的地の決定、処理：電車の運転、出力：到着","入力：切符の購入、処理：印刷、出力：手渡し","入力：SNS投稿、処理：AI分析、出力：広告表示","1","データを読み取り、ルールに従って処理し、結果を物理的な動きで出力する仕組みです。"
"102","不正アクセス禁止法において、自分のパスワードを友人に教える行為はどう扱われるか。","特に問題ない","状況により、他人のアクセスを助長する識別符号の不正提供に当たる可能性がある","著作権法違反となる","個人情報保護法違反となる","2","正当な理由なく他人のID・パスワードを第三者に教えることは禁止されています。"
"103","個人情報保護法の対象となる個人情報として不適切なものはどれか。","氏名と住所の組み合わせ","防犯カメラに映った個人の顔画像","特定の個人を識別できない統計データ（人口密度など）","マイナンバー","3","特定の個人を識別できないように加工された統計情報は、個人情報には当たりません。"
"104","情報セキュリティポリシーを全職員に周知徹底しなければならない理由はどれか。","一部の人だけが守っても、脆弱な箇所から攻撃を受けるから","法律で全職員の暗記が義務付けられているから","AIが職員を監視しやすくするため","給与の計算に必要だから","1","セキュリティは最も弱い部分（人）から破られるため、全員の意識向上が不可欠です。"
"105","コミュニケーション手段テレビ放送の時間の分類はどれか。","非共有（非同期）","共有（同期）","多対多","双方向","2","放送時間に視聴者がテレビの前にいる必要があるため、時間の共有が必要です。"
"106","情報の抽象化のデメリットとして考えられるものはどれか。","情報が多すぎて伝わらない","詳細な情報が失われること","関係性が整理されすぎること","AIが理解できなくなること","2","本質を抜き出す過程で、周辺の詳細情報は削ぎ落とされることになります。"
"107","円グラフが可視化として適している場面はどれか。","時系列の変化を見せたい時","全体における各要素の割合を見せたい時","要素同士の論理的なつながりを見せたい時","複雑な手順を説明したい時","2","面積の比率で構成比を直感的に理解させるのに向いています。"
"108","フローチャートは情報のデザイン手法のうち、主にどれに該当するか。","抽象化","可視化","構造化","UI設計","3","処理の順序や分岐という構造を整理して示すため、構造化に該当します。"
"109","AIの画像認識を応用した、自動運転車の機能はどれか。","目的地の音声入力","カメラ映像による障害物や歩行者の検知","渋滞予測のテキスト表示","給油の予約","2","周囲の状況をリアルタイムに画像として解析し、安全を確保します。"
"110","通信の高速化がキャッシュレス決済を普及させた理由として、適切なものはどれか。","決済の通信待ち時間が減り、実用的になったから","スマホの画面が大きくなったから","テレビの画質が良くなったから","法律で紙幣が禁止されたから","1","数秒で終わる通信速度が、店舗での実用性を支えています。"
"111","情報モラルが欠如した際のリスクとして、不適切なものはどれか。","他者の権利侵害","SNSでの炎上","情報の不正確な拡散","通信速度の劇的な向上","4","モラルの有無は通信速度という物理的な性能には直接影響しません。"
"112","著作権の保護期間について、原則として著作者の死後何年間保護されるか。","10年","20年","50年","70年","4","日本の現在の法律では、原則として著作者の死後70年間権利が存続します。"
"113","銀行ATMが情報システムである理由として、正しい説明はどれか。","ネットワークを介して口座データを処理・管理しているから","建物の外にあるから","24時間動いているから","画面がタッチパネルだから","1","情報の収集、通信、処理、出力を統合した仕組みだからです。"
"114","コミュニケーション手段電話の場所的特徴はどれか。","共有","非共有","1対多","非同期","2","離れた場所にいる人と話すための手段であるため、場所の非共有に分類されます。"
"115","情報デザインの目的正確に、役に立つ形で伝えるために必要な要素はどれか。","目的や受け手の状況に合わせること","できるだけ多くの色を使うこと","専門用語を並べること","自分の意見だけを強調すること","1","情報の送り手の都合ではなく、受け手を基準に考えることが重要です。"
"116","位置情報を分析することで分かる人の動きの具体例はどれか。","個人の年収の変化","どの地域にどの時間帯に人が集まっているか","メールの送信頻度","写真の加工の好み","2","エリアごとの人口密度や動線を知ることで、商業利用や災害対策に活用されます。"
"117","Web制作におけるワイヤーフレームで、まだ決定しなくてよい要素はどれか。","メニューの配置","主要なボタンの場所","画像の正確な色味や詳細なデザイン","コンテンツの並び順","3","骨組み（レイアウト）を決める段階では、装飾的な詳細は後回しにします。"
"118","ペーパープロトタイプの最大の利点はどれか。","サーバー負荷をテストできる","プログラミングなしで、誰でもすぐに形にできる","そのまま製品として販売できる","AIが学習しやすい","2","紙とペンさえあれば、開発の最初の一歩を踏み出すことができます。"
"119","アクセシビリティを考慮したWebサイトの例はどれか。","特定の最新ブラウザでしか動かないサイト","文字が小さすぎて読めないサイト","音声読み上げ機能に対応したサイト","背景と文字が同系色で見にくいサイト","3","目の不自由な方でも情報を得られるよう配慮された設計です。"
"120","SNSでアーンドメディアが重要視される理由はどれか。","自社の宣伝よりも、第三者の口コミの方が信頼されやすいから","広告費用が完全に無料だから","法律の規制を全く受けないから","デザインが固定されているから","1","消費者（ユーザー）の生の声は、現代のマーケティングにおいて高い価値を持ちます。"
"121","ステルスマーケティングを防ぐための表記PRは、どこに記載すべきか。","利用者の目に付きやすい場所","利用規約の最後の方","画像の隅に非常に小さく","全く別のページ","1","広告であることをユーザーがすぐに認識できる場所に明示する必要があります。"
"122","SEOにおけるメタディスクリプションに適切な内容を書くメリットはどれか。","検索エンジンの計算を止めるため","検索結果に表示される説明文を見て、クリック率が上がるため","法律で100文字以上と決まっているため","サーバー代が安くなるから","2","ユーザーに自分の探している情報があると確信させることができます。"
"123","ネイティブアドがユーザーに受け入れられやすい理由はどれか。","画面を覆い尽くすから","コンテンツを中断させず、自然な流れで情報が目に入るから","音が大きいから","消すのが大変だから","2","ユーザーの読書体験や視聴体験を阻害しない工夫がなされているためです。"
"124","検索エンジンで見出しタグ（h1）が重要視される理由はどれか。","文字が一番大きく表示されるから","ページの内容を端的に表す見出しであり、クローラーがテーマを理解する手がかりになるから","リンクを貼るのに必須だから","画像を保護するタグだから","2","見出しは構造上、その節やページ全体の主題を示すものだからです。"
"125","AIが画像認識で工場の製品をチェックするメリットはどれか。","人間より疲れやすく、見逃しが多い","高速かつ一定の基準で、大量の製品を自動検品できる","電気がなくても動く","コストが無限にかかる","2","人間による目視検査の負担を減らし、品質を安定させることができます。"
"126","メディアミックス戦略の一環として、マンガをアニメ化する理由は何か。","情報を一箇所に閉じ込めるため","既存のファン以外の層にも認知を広げるため","法律を守るため","印刷代を浮かせるため","2","異なるメディアの利用者層（読者と視聴者）の両方にアプローチできます。"
